Horario;Dia;Data;Clube 1;Clube 2;Vencedor;Rodada;Arena;p1;p2;C1 Estado;C2 Estado;Vencedor Estado
16h00;Sábado;29/07/2000;Vasco;Sport;Sport;1ª Rodada;São Januário;0;2;RJ;PE;PE
16h00;Sábado;29/07/2000;Vitória;Palmeiras;Vitória;1ª Rodada;Barradão;4;1;ES;SP;ES
16h00;Sábado;29/07/2000;Fluminense;Bahia;Fluminense;1ª Rodada;Maracanã;2;0;RJ;BH;RJ
16h00;Domingo;30/07/2000;América-MG;Gama;Gama;1ª Rodada;Independência;0;1;MG;DF;DF
16h00;Domingo;30/07/2000;Guarani;Santa Cruz;-;1ª Rodada;Brinco de Ouro;0;0;SP;PE;Empate
17h00;Domingo;30/07/2000;Cruzeiro;Atlético-PR;Atlético-PR;1ª Rodada;Mineirão;0;2;MG;PR;PR
17h00;Domingo;30/07/2000;Botafogo;Atlético-MG;-;1ª Rodada;Caio Martins;0;0;RJ;MG;Empate
18h30;Domingo;30/07/2000;Goiás;Corinthians;Goiás;1ª Rodada;Serra Dourada;3;0;GO;SP;GO
18h30;Domingo;30/07/2000;Juventude;Flamengo;-;1ª Rodada;Alfredo Jaconi;1;1;RS;RJ;Empate
20h30;Quarta-feira;02/08/2000;Coritiba;Sport;-;2ª Rodada;Couto Pereira;0;0;PR;PE;Empate
20h30;Quarta-feira;02/08/2000;Gama;Fluminense;Gama;2ª Rodada;Mané Garrincha;2;1;DF;RJ;DF
20h30;Quarta-feira;02/08/2000;Santos;Vitória;Santos;2ª Rodada;Vila Belmiro;2;0;SP;ES;SP
20h30;Quarta-feira;02/08/2000;Bahia;Atlético-PR;Bahia;2ª Rodada;Fonte Nova;2;1;BH;PR;BH
20h30;Quarta-feira;02/08/2000;Ponte Preta;América-MG;Ponte Preta;2ª Rodada;Moisés Lucarelli;3;1;SP;MG;SP
20h30;Quarta-feira;02/08/2000;Internacional;Goiás;Goiás;2ª Rodada;Beira-Rio;0;1;RS;GO;GO
21h40;Quarta-feira;02/08/2000;Flamengo;Grêmio;Flamengo;2ª Rodada;Maracanã;3;0;RJ;RS;RJ
20h30;Quinta-feira;03/08/2000;Palmeiras;Botafogo;-;2ª Rodada;Pq. Antarctica;0;0;SP;RJ;Empate
16h00;Sábado;05/08/2000;Atlético-PR;Flamengo;-;3ª Rodada;Joaquim Américo;1;1;PR;RJ;Empate
16h00;Sábado;05/08/2000;Fluminense;Santos;Fluminense;3ª Rodada;Maracanã;2;1;RJ;SP;RJ
18h00;Sábado;05/08/2000;Corinthians;Gama;Corinthians;3ª Rodada;Canindé;4;2;SP;DF;SP
16h00;Domingo;06/08/2000;Portuguesa;Goiás;Goiás;3ª Rodada;Canindé;0;2;SP;GO;GO
16h00;Domingo;06/08/2000;Atlético-MG;Bahia;-;3ª Rodada;Mineirão;0;0;MG;BH;Empate
16h00;Domingo;06/08/2000;Juventude;Ponte Preta;-;3ª Rodada;Alfredo Jaconi;1;1;RS;SP;Empate
17h00;Domingo;06/08/2000;São Paulo;Santa Cruz;São Paulo;3ª Rodada;Morumbi;2;1;SP;PE;SP
17h00;Domingo;06/08/2000;Vasco;Cruzeiro;-;3ª Rodada;São Januário;3;3;RJ;MG;Empate
18h30;Domingo;06/08/2000;Grêmio;Palmeiras;Palmeiras;3ª Rodada;Olímpico;0;1;RS;SP;SP
18h30;Domingo;06/08/2000;Coritiba;Botafogo;Botafogo;3ª Rodada;Couto Pereira;0;2;PR;RJ;RJ
20h30;Quarta-feira;09/08/2000;Gama;Atlético-PR;Atlético-PR;4ª Rodada;Mané Garrincha;0;1;DF;PR;PR
20h30;Quarta-feira;09/08/2000;Santos;São Paulo;-;4ª Rodada;Vila Belmiro;1;1;SP;SP;Empate
20h30;Quarta-feira;09/08/2000;Flamengo;Guarani;-;4ª Rodada;Maracanã;1;1;RJ;SP;Empate
20h30;Quarta-feira;09/08/2000;Botafogo;Portuguesa;Botafogo;4ª Rodada;Caio Martins;4;1;RJ;SP;RJ
20h30;Quarta-feira;09/08/2000;Santa Cruz;Vitória;Santa Cruz;4ª Rodada;Arruda;2;1;PE;ES;PE
20h30;Quarta-feira;09/08/2000;Goiás;Coritiba;Goiás;4ª Rodada;Serra Dourada;1;0;GO;PR;GO
20h30;Quarta-feira;09/08/2000;Bahia;Grêmio;-;4ª Rodada;Fonte Nova;1;1;BH;RS;Empate
21h40;Quarta-feira;09/08/2000;Internacional;Fluminense;-;4ª Rodada;Beira-Rio;1;1;RS;RJ;Empate
20h30;Sexta-feira;11/08/2000;Vasco;Corinthians;Vasco;5ª Rodada;São Januário;1;0;RJ;SP;RJ
20h30;Sexta-feira;11/08/2000;Palmeiras;Goiás;-;5ª Rodada;Pq. Antarctica;1;1;SP;GO;Empate
20h30;Sexta-feira;11/08/2000;Atlético-PR;Atlético-MG;Atlético-PR;5ª Rodada;Joaquim Américo;2;1;PR;MG;PR
16h00;Sábado;12/08/2000;Coritiba;Gama;Gama;6ª Rodada;Couto Pereira;0;1;PR;DF;DF
18h00;Sábado;12/08/2000;Grêmio;Santos;Santos;6ª Rodada;Olímpico;0;2;RS;SP;SP
18h00;Sábado;12/08/2000;São Paulo;Flamengo;São Paulo;6ª Rodada;Morumbi;3;2;SP;RJ;SP
16h00;Domingo;13/08/2000;Portuguesa;Juventude;Portuguesa;6ª Rodada;Canindé;2;0;SP;RS;SP
16h00;Domingo;13/08/2000;Goiás;Vitória;Vitória;6ª Rodada;Serra Dourada;4;5;GO;ES;ES
17h00;Domingo;13/08/2000;Corinthians;Santa Cruz;Corinthians;6ª Rodada;Pacaembu;2;0;SP;PE;SP
17h00;Domingo;13/08/2000;Botafogo;Internacional;Internacional;6ª Rodada;Maracanã;0;1;RJ;RS;RS
18h30;Domingo;13/08/2000;Atlético-PR;Palmeiras;-;6ª Rodada;Joaquim Américo;0;0;PR;SP;Empate
18h30;Domingo;13/08/2000;Guarani;Vasco;Vasco;6ª Rodada;Brinco de Ouro;0;1;SP;RJ;RJ
18h30;Domingo;13/08/2000;Sport;Cruzeiro;-;6ª Rodada;Ilha do Retiro;1;1;PE;MG;Empate
20h30;Quarta-feira;16/08/2000;Vitória;Portuguesa;Vitória;7ª Rodada;Barradão;2;0;ES;SP;ES
20h30;Quarta-feira;16/08/2000;Goiás;Botafogo;Goiás;7ª Rodada;Serra Dourada;3;2;GO;RJ;GO
20h30;Quarta-feira;16/08/2000;Internacional;Atlético-MG;-;7ª Rodada;Beira-Rio;1;1;RS;MG;Empate
20h30;Quarta-feira;16/08/2000;Fluminense;Guarani;-;7ª Rodada;Laranjeiras;0;0;RJ;SP;Empate
20h30;Quarta-feira;16/08/2000;Santos;América-MG;Santos;7ª Rodada;Vila Belmiro;3;0;SP;MG;SP
20h30;Quarta-feira;16/08/2000;Palmeiras;Corinthians;Corinthians;7ª Rodada;Morumbi;0;1;SP;SP;SP
20h30;Quarta-feira;16/08/2000;Gama;Bahia;Bahia;7ª Rodada;Mané Garrincha;0;1;DF;BH;BH
22h00;Quarta-feira;16/08/2000;Cruzeiro;São Paulo;-;7ª Rodada;Mineirão;2;2;MG;SP;Empate
22h00;Quarta-feira;16/08/2000;Santa Cruz;Vasco;-;7ª Rodada;Arruda;1;1;PE;RJ;Empate
20h30;Quinta-feira;17/08/2000;Flamengo;Coritiba;Flamengo;7ª Rodada;Maracanã;2;1;RJ;PR;RJ
15h45;Sábado;19/08/2000;Atlético-MG;Santos;Atlético-MG;8ª Rodada;Mineirão;1;0;MG;SP;MG
15h45;Sábado;19/08/2000;América-MG;Fluminense;-;8ª Rodada;Independência;1;1;MG;RJ;Empate
16h00;Sábado;19/08/2000;Guarani;Cruzeiro;Cruzeiro;8ª Rodada;Brinco de Ouro;0;1;SP;MG;MG
18h00;Sábado;19/08/2000;Palmeiras;Internacional;Internacional;8ª Rodada;Morumbi;1;4;SP;RS;RS
18h00;Sábado;19/08/2000;Gama;Goiás;-;8ª Rodada;Mané Garrincha;1;1;DF;GO;Empate
16h00;Domingo;20/08/2000;Juventude;Sport;-;8ª Rodada;Alfredo Jaconi;1;1;RS;PE;Empate
17h00;Domingo;20/08/2000;Atlético-PR;Coritiba;Coritiba;8ª Rodada;Joaquim Américo;1;3;PR;PR;PR
17h00;Domingo;20/08/2000;Vasco;Ponte Preta;Vasco;8ª Rodada;São Januário;2;1;RJ;SP;RJ
17h00;Domingo;20/08/2000;São Paulo;Bahia;-;8ª Rodada;Morumbi;1;1;SP;BH;Empate
18h30;Domingo;20/08/2000;Botafogo;Corinthians;-;8ª Rodada;Maracanã;1;1;RJ;SP;Empate
18h30;Domingo;20/08/2000;Santa Cruz;Flamengo;-;8ª Rodada;Arruda;2;2;PE;RJ;Empate
20h30;Quarta-feira;23/08/2000;Goiás;Santa Cruz;-;9ª Rodada;Serra Dourada;1;1;GO;PE;Empate
20h30;Quarta-feira;23/08/2000;Ponte Preta;Gama;Ponte Preta;9ª Rodada;Canindé;3;0;SP;DF;SP
20h30;Quarta-feira;23/08/2000;Internacional;Guarani;-;9ª Rodada;Beira-Rio;0;0;RS;SP;Empate
20h30;Quarta-feira;23/08/2000;América-MG;Atlético-PR;-;9ª Rodada;Independência;0;0;MG;PR;Empate
20h30;Quarta-feira;23/08/2000;Bahia;Cruzeiro;Cruzeiro;9ª Rodada;Fonte Nova;1;3;BH;MG;MG
20h30;Quarta-feira;23/08/2000;Juventude;Santos;-;9ª Rodada;Alfredo Jaconi;1;1;RS;SP;Empate
22h00;Quarta-feira;23/08/2000;Vitória;Fluminense;Fluminense;9ª Rodada;Barradão;2;4;ES;RJ;RJ
15h45;Sábado;26/08/2000;Guarani;Botafogo;Botafogo;10ª Rodada;Brinco de Ouro;1;2;SP;RJ;RJ
15h45;Sábado;26/08/2000;Atlético-PR;São Paulo;Atlético-PR;10ª Rodada;Joaquim Américo;2;1;PR;SP;PR
18h00;Sábado;26/08/2000;Cruzeiro;Vitória;Cruzeiro;10ª Rodada;Mineirão;3;1;MG;ES;MG
18h00;Sábado;26/08/2000;Fluminense;Juventude;Fluminense;10ª Rodada;Maracanã;2;0;RJ;RS;RJ
16h00;Domingo;27/08/2000;Ponte Preta;Atlético-MG;Ponte Preta;10ª Rodada;Moisés Lucarelli;3;2;SP;MG;SP
17h00;Domingo;27/08/2000;Corinthians;Grêmio;Grêmio;10ª Rodada;Pacaembu;1;2;SP;RS;RS
17h00;Domingo;27/08/2000;Bahia;Santa Cruz;Bahia;10ª Rodada;Fonte Nova;3;2;BH;PE;BH
17h00;Domingo;27/08/2000;Internacional;Coritiba;-;10ª Rodada;Beira-Rio;1;1;RS;PR;Empate
18h30;Domingo;27/08/2000;Santos;Palmeiras;Palmeiras;10ª Rodada;Vila Belmiro;2;3;SP;SP;SP
18h30;Domingo;27/08/2000;Portuguesa;Vasco;-;10ª Rodada;Canindé;2;2;SP;RJ;Empate
18h30;Domingo;27/08/2000;Sport;Goiás;Sport;10ª Rodada;Ilha do Retiro;2;0;PE;GO;PE
20h30;Quarta-feira;30/08/2000;Corinthians;Santos;Santos;11ª Rodada;Pacaembu;0;3;SP;SP;SP
20h30;Quarta-feira;30/08/2000;Portuguesa;Gama;Portuguesa;11ª Rodada;Canindé;3;1;SP;DF;SP
20h30;Quarta-feira;30/08/2000;Guarani;Juventude;Juventude;11ª Rodada;Brinco de Ouro;1;2;SP;RS;RS
20h30;Quarta-feira;30/08/2000;Vitória;Internacional;Vitória;11ª Rodada;Barradão;3;0;ES;RS;ES
22h00;Quarta-feira;30/08/2000;Botafogo;Atlético-PR;Atlético-PR;11ª Rodada;Maracanã;0;2;RJ;PR;PR
15h45;Sábado;02/09/2000;Santos;Cruzeiro;-;12ª Rodada;Vila Belmiro;1;1;SP;MG;Empate
15h45;Sábado;02/09/2000;Atlético-MG;Flamengo;Flamengo;12ª Rodada;Mineirão;1;2;MG;RJ;RJ
15h45;Sábado;02/09/2000;Coritiba;Bahia;-;12ª Rodada;Couto Pereira;1;1;PR;BH;Empate
15h45;Sábado;02/09/2000;Gama;Internacional;Internacional;12ª Rodada;Mané Garrincha;0;1;DF;RS;RS
15h45;Sábado;02/09/2000;Vitória;Sport;Vitória;12ª Rodada;Barradão;4;3;ES;PE;ES
16h00;Sábado;02/09/2000;Santa Cruz;Portuguesa;-;12ª Rodada;Arruda;0;0;PE;SP;Empate
16h00;Sábado;02/09/2000;América-MG;Guarani;América-MG;12ª Rodada;Independência;1;0;MG;SP;MG
16h00;Sábado;02/09/2000;Fluminense;Botafogo;Fluminense;12ª Rodada;Maracanã;1;0;RJ;RJ;RJ
18h00;Sábado;02/09/2000;Palmeiras;São Paulo;São Paulo;12ª Rodada;Morumbi;0;3;SP;SP;SP
18h00;Sábado;02/09/2000;Grêmio;Ponte Preta;-;12ª Rodada;Olímpico;2;2;RS;SP;Empate
20h30;Terça-feira;05/09/2000;Vasco;Atlético-PR;-;13ª Rodada;São Januário;2;2;RJ;PR;Empate
20h30;Terça-feira;05/09/2000;Cruzeiro;Internacional;-;13ª Rodada;Mineirão;1;1;MG;RS;Empate
20h30;Quarta-feira;06/09/2000;Juventude;Coritiba;Juventude;13ª Rodada;Alfredo Jaconi;2;1;RS;PR;RS
20h30;Quarta-feira;06/09/2000;Fluminense;Portuguesa;Fluminense;13ª Rodada;Maracanã;2;1;RJ;SP;RJ
20h30;Quarta-feira;06/09/2000;Gama;Santa Cruz;-;13ª Rodada;Bezerrão;1;1;DF;PE;Empate
22h00;Quarta-feira;06/09/2000;América-MG;Botafogo;América-MG;13ª Rodada;Mineirão;5;2;MG;RJ;MG
15h45;Quinta-feira;07/09/2000;Atlético-MG;Corinthians;Atlético-MG;13ª Rodada;Mineirão;3;1;MG;SP;MG
18h00;Quinta-feira;07/09/2000;Grêmio;Sport;Grêmio;13ª Rodada;Olímpico;1;0;RS;PE;RS
18h00;Quinta-feira;07/09/2000;Ponte Preta;Vitória;Ponte Preta;13ª Rodada;Moisés Lucarelli;2;1;SP;ES;SP
15h45;Sábado;09/09/2000;São Paulo;Fluminense;São Paulo;14ª Rodada;Morumbi;2;0;SP;RJ;SP
15h45;Sábado;09/09/2000;Santa Cruz;Santos;Santos;14ª Rodada;Arruda;0;1;PE;SP;SP
18h00;Sábado;09/09/2000;Sport;Guarani;-;14ª Rodada;Ilha do Retiro;1;1;PE;SP;Empate
18h00;Sábado;09/09/2000;Goiás;América-MG;Goiás;14ª Rodada;Serra Dourada;2;0;GO;MG;GO
17h00;Domingo;10/09/2000;Corinthians;Vitória;-;14ª Rodada;Pacaembu;1;1;SP;ES;Empate
17h00;Domingo;10/09/2000;Cruzeiro;Gama;Cruzeiro;14ª Rodada;Mineirão;2;1;MG;DF;MG
17h00;Domingo;10/09/2000;Coritiba;Ponte Preta;Coritiba;14ª Rodada;Couto Pereira;2;0;PR;SP;PR
18h30;Domingo;10/09/2000;Flamengo;Palmeiras;-;14ª Rodada;Maracanã;0;0;RJ;SP;Empate
18h30;Domingo;10/09/2000;Bahia;Vasco;Bahia;14ª Rodada;Fonte Nova;3;1;BH;RJ;BH
18h30;Domingo;10/09/2000;Portuguesa;Atlético-MG;Portuguesa;14ª Rodada;Canindé;2;1;SP;MG;SP
18h30;Domingo;10/09/2000;Juventude;Grêmio;Juventude;14ª Rodada;Alfredo Jaconi;4;3;RS;RS;RS
20h30;Quarta-feira;13/09/2000;Ponte Preta;São Paulo;-;15ª Rodada;Moisés Lucarelli;3;3;SP;SP;Empate
20h30;Quarta-feira;13/09/2000;Portuguesa;Bahia;Portuguesa;15ª Rodada;Canindé;3;1;SP;BH;SP
20h30;Quarta-feira;13/09/2000;Vasco;Fluminense;Vasco;15ª Rodada;Maracanã;4;3;RJ;RJ;RJ
20h30;Quarta-feira;13/09/2000;Sport;Atlético-PR;Sport;15ª Rodada;Ilha do Retiro;4;1;PE;PR;PE
20h30;Quarta-feira;13/09/2000;Gama;Palmeiras;Gama;15ª Rodada;Mané Garrincha;2;0;DF;SP;DF
20h30;Quarta-feira;13/09/2000;Vitória;Coritiba;Vitória;15ª Rodada;Barradão;3;1;ES;PR;ES
22h00;Quarta-feira;13/09/2000;Cruzeiro;Botafogo;Cruzeiro;15ª Rodada;Mineirão;4;0;MG;RJ;MG
20h30;Quinta-feira;14/09/2000;Flamengo;Goiás;Flamengo;15ª Rodada;Maracanã;3;1;RJ;GO;RJ
20h30;Quinta-feira;14/09/2000;Grêmio;América-MG;Grêmio;15ª Rodada;Olímpico;2;1;RS;MG;RS
15h45;Sábado;16/09/2000;Internacional;Santos;-;16ª Rodada;Beira-Rio;1;1;RS;SP;Empate
15h45;Sábado;16/09/2000;Atlético-MG;Fluminense;-;16ª Rodada;Mineirão;2;2;MG;RJ;Empate
16h00;Sábado;16/09/2000;Vitória;Gama;-;16ª Rodada;Barradão;1;1;ES;DF;Empate
18h00;Sábado;16/09/2000;Atlético-PR;Juventude;Juventude;16ª Rodada;Joaquim Américo;0;1;PR;RS;RS
18h00;Sábado;16/09/2000;Botafogo;Ponte Preta;Botafogo;16ª Rodada;Caio Martins;3;1;RJ;SP;RJ
16h00;Domingo;17/09/2000;América-MG;Santa Cruz;América-MG;16ª Rodada;Independência;1;0;MG;PE;MG
16h00;Domingo;17/09/2000;São Paulo;Portuguesa;São Paulo;16ª Rodada;Morumbi;2;0;SP;SP;SP
17h00;Domingo;17/09/2000;Palmeiras;Sport;-;16ª Rodada;Pq. Antarctica;1;1;SP;PE;Empate
17h00;Domingo;17/09/2000;Grêmio;Cruzeiro;-;16ª Rodada;Olímpico;0;0;RS;MG;Empate
18h30;Domingo;17/09/2000;Guarani;Goiás;-;16ª Rodada;Brinco de Ouro;0;0;SP;GO;Empate
18h30;Domingo;17/09/2000;Coritiba;Corinthians;-;16ª Rodada;Couto Pereira;1;1;PR;SP;Empate
18h30;Domingo;17/09/2000;Bahia;Flamengo;Bahia;16ª Rodada;Fonte Nova;4;1;BH;RJ;BH
20h30;Quarta-feira;20/09/2000;Ponte Preta;Portuguesa;Ponte Preta;17ª Rodada;Moisés Lucarelli;3;1;SP;SP;SP
20h30;Quarta-feira;20/09/2000;Santos;Atlético-PR;Santos;17ª Rodada;Vila Belmiro;2;1;SP;PR;SP
20h30;Quarta-feira;20/09/2000;Juventude;Gama;Gama;17ª Rodada;Alfredo Jaconi;0;2;RS;DF;DF
20h30;Quarta-feira;20/09/2000;Sport;Bahia;Sport;17ª Rodada;Ilha do Retiro;3;0;PE;BH;PE
22h00;Quarta-feira;20/09/2000;Vasco;América-MG;Vasco;17ª Rodada;São Januário;4;0;RJ;MG;RJ
15h45;Sábado;23/09/2000;Flamengo;Santos;Flamengo;18ª Rodada;Maracanã;3;0;RJ;SP;RJ
16h00;Sábado;23/09/2000;América-MG;Internacional;-;18ª Rodada;Independência;1;1;MG;RS;Empate
18h00;Sábado;23/09/2000;Guarani;Coritiba;Guarani;18ª Rodada;Brinco de Ouro;2;0;SP;PR;SP
18h00;Sábado;23/09/2000;Grêmio;Vitória;Grêmio;18ª Rodada;Olímpico;1;0;RS;ES;RS
16h00;Domingo;24/09/2000;Portuguesa;Sport;Portuguesa;18ª Rodada;Canindé;1;0;SP;PE;SP
17h00;Domingo;24/09/2000;Goiás;Cruzeiro;Goiás;18ª Rodada;Serra Dourada;2;0;GO;MG;GO
17h00;Domingo;24/09/2000;Gama;São Paulo;São Paulo;18ª Rodada;Mané Garrincha;1;3;DF;SP;SP
17h00;Domingo;24/09/2000;Corinthians;Ponte Preta;Corinthians;18ª Rodada;Pacaembu;1;0;SP;SP;SP
18h30;Domingo;24/09/2000;Fluminense;Palmeiras;Palmeiras;18ª Rodada;Maracanã;0;1;RJ;SP;SP
18h30;Domingo;24/09/2000;Juventude;Vasco;Vasco;18ª Rodada;Alfredo Jaconi;1;2;RS;RJ;RJ
18h30;Domingo;24/09/2000;Santa Cruz;Atlético-MG;Atlético-MG;18ª Rodada;Arruda;1;2;PE;MG;MG
20h30;Quarta-feira;27/09/2000;São Paulo;América-MG;São Paulo;19ª Rodada;Morumbi;3;0;SP;MG;SP
20h30;Quarta-feira;27/09/2000;Botafogo;Vitória;-;19ª Rodada;Maracanã;0;0;RJ;ES;Empate
20h30;Quarta-feira;27/09/2000;Portuguesa;Guarani;Guarani;19ª Rodada;Canindé;2;3;SP;SP;SP
20h30;Quarta-feira;27/09/2000;Ponte Preta;Sport;Ponte Preta;19ª Rodada;Moisés Lucarelli;3;0;SP;PE;SP
20h30;Quarta-feira;27/09/2000;Santa Cruz;Juventude;Santa Cruz;19ª Rodada;Arruda;2;1;PE;RS;PE
20h30;Quinta-feira;28/09/2000;Corinthians;Atlético-PR;Atlético-PR;19ª Rodada;Pacaembu;2;3;SP;PR;PR
16h00;Sábado;30/09/2000;Atlético-MG;Cruzeiro;Cruzeiro;20ª Rodada;Mineirão;2;4;MG;MG;MG
16h00;Sábado;30/09/2000;Gama;Flamengo;Flamengo;20ª Rodada;Mané Garrincha;2;4;DF;RJ;RJ
16h00;Sábado;30/09/2000;Goiás;São Paulo;-;20ª Rodada;Serra Dourada;2;2;GO;SP;Empate
16h00;Sábado;30/09/2000;América-MG;Juventude;América-MG;20ª Rodada;Independência;3;0;MG;RS;MG
18h00;Sábado;30/09/2000;Coritiba;Grêmio;Grêmio;20ª Rodada;Couto Pereira;1;2;PR;RS;RS
18h00;Sábado;30/09/2000;Sport;Fluminense;Sport;20ª Rodada;Ilha do Retiro;3;2;PE;RJ;PE
20h30;Quarta-feira;04/10/2000;Santa Cruz;Sport;Sport;21ª Rodada;Arruda;0;3;PE;PE;PE
20h30;Quarta-feira;04/10/2000;Atlético-PR;Guarani;Guarani;21ª Rodada;Joaquim Américo;0;1;PR;SP;SP
20h30;Quarta-feira;04/10/2000;São Paulo;Grêmio;-;21ª Rodada;Morumbi;1;1;SP;RS;Empate
20h30;Quarta-feira;04/10/2000;Botafogo;Juventude;Botafogo;21ª Rodada;Caio Martins;2;1;RJ;RS;RJ
20h30;Quarta-feira;04/10/2000;Vasco;Atlético-MG;Vasco;21ª Rodada;São Januário;4;0;RJ;MG;RJ
20h30;Quarta-feira;04/10/2000;América-MG;Portuguesa;-;21ª Rodada;Independência;1;1;MG;SP;Empate
20h30;Quarta-feira;04/10/2000;Gama;Santos;Gama;21ª Rodada;Mané Garrincha;2;1;DF;SP;DF
20h30;Quarta-feira;04/10/2000;Palmeiras;Coritiba;Palmeiras;21ª Rodada;Pq. Antarctica;2;1;SP;PR;SP
20h30;Quarta-feira;04/10/2000;Bahia;Vitória;Bahia;21ª Rodada;Fonte Nova;1;0;BH;ES;BH
21h40;Quarta-feira;04/10/2000;Ponte Preta;Flamengo;Ponte Preta;21ª Rodada;Moisés Lucarelli;2;0;SP;RJ;SP
16h;Sábado;07/10/2000;Vitória;São Paulo;Vitória;22ª Rodada;Barradão;5;1;ES;SP;ES
16h;Sábado;07/10/2000;Juventude;Palmeiras;Palmeiras;22ª Rodada;Alfredo Jaconi;0;1;RS;SP;SP
16h;Sábado;07/10/2000;Santos;Ponte Preta;-;22ª Rodada;Vila Belmiro;3;3;SP;SP;Empate
16h;Sábado;07/10/2000;Guarani;Bahia;-;22ª Rodada;Brinco de Ouro;2;2;SP;BH;Empate
16h;Sábado;07/10/2000;Internacional;Grêmio;Grêmio;22ª Rodada;Beira-Rio;1;2;RS;RS;RS
16h;Sábado;07/10/2000;América-MG;Cruzeiro;-;22ª Rodada;Independência;1;1;MG;MG;Empate
16h;Sábado;07/10/2000;Botafogo;Flamengo;Botafogo;22ª Rodada;Maracanã;3;1;RJ;RJ;RJ
16h;Sábado;07/10/2000;Atlético-PR;Santa Cruz;Atlético-PR;22ª Rodada;Joaquim Américo;4;0;PR;PE;PR
16h;Sábado;07/10/2000;Sport;Gama;Sport;22ª Rodada;Ilha do Retiro;3;0;PE;DF;PE
18h;Sábado;07/10/2000;Atlético-MG;Goiás;Atlético-MG;22ª Rodada;Mineirão;2;1;MG;GO;MG
18h;Sábado;07/10/2000;Corinthians;Portuguesa;Portuguesa;22ª Rodada;Pacaembu;2;3;SP;SP;SP
20h30;Terça-feira;10/10/2000;Cruzeiro;Santa Cruz;Cruzeiro;23ª Rodada;Mineirão;3;0;MG;PE;MG
20h30;Quarta-feira;11/10/2000;Atlético-MG;Guarani;Atlético-MG;23ª Rodada;Mineirão;3;0;MG;SP;MG
20h30;Quarta-feira;11/10/2000;São Paulo;Coritiba;São Paulo;23ª Rodada;Morumbi;3;2;SP;PR;SP
20h30;Quarta-feira;11/10/2000;Palmeiras;América-MG;-;23ª Rodada;Morumbi;0;0;SP;MG;Empate
20h30;Quarta-feira;11/10/2000;Fluminense;Grêmio;Fluminense;23ª Rodada;Maracanã;1;0;RJ;RS;RJ
20h30;Quarta-feira;11/10/2000;Ponte Preta;Atlético-PR;Atlético-PR;23ª Rodada;Moisés Lucarelli;0;1;SP;PR;PR
21h40;Quarta-feira;11/10/2000;Portuguesa;Internacional;Portuguesa;23ª Rodada;Canindé;3;2;SP;RS;SP
21h40;Quarta-feira;11/10/2000;Bahia;Corinthians;Bahia;23ª Rodada;Fonte Nova;2;1;BH;SP;BH
21h40;Quarta-feira;11/10/2000;Vasco;Vitória;-;23ª Rodada;São Januário;2;2;RJ;ES;Empate
20h30;Quinta-feira;12/10/2000;Cruzeiro;Juventude;Cruzeiro;23ª Rodada;Mineirão;2;1;MG;RS;MG
16h;Sábado;14/10/2000;Santos;Vasco;-;24ª Rodada;Vila Belmiro;1;1;SP;RJ;Empate
16h;Sábado;14/10/2000;Palmeiras;Atlético-MG;Palmeiras;24ª Rodada;Pq. Antarctica;3;2;SP;MG;SP
18h;Sábado;14/10/2000;Flamengo;Sport;Sport;24ª Rodada;Maracanã;1;2;RJ;PE;PE
18h;Sábado;14/10/2000;Internacional;Bahia;Internacional;24ª Rodada;Beira-Rio;3;2;RS;BH;RS
17h;Domingo;15/10/2000;Juventude;Goiás;Goiás;24ª Rodada;Alfredo Jaconi;1;2;RS;GO;GO
17h;Domingo;15/10/2000;Santa Cruz;Coritiba;-;24ª Rodada;Arruda;1;1;PE;PR;Empate
17h;Domingo;15/10/2000;Grêmio;Portuguesa;-;24ª Rodada;Olímpico;2;2;RS;SP;Empate
18h30;Domingo;15/10/2000;Fluminense;Cruzeiro;Fluminense;24ª Rodada;Maracanã;2;1;RJ;MG;RJ
18h30;Domingo;15/10/2000;Guarani;Corinthians;Guarani;24ª Rodada;Brinco de Ouro;3;2;SP;SP;SP
18h30;Domingo;15/10/2000;Botafogo;São Paulo;Botafogo;24ª Rodada;Maracanã;1;0;RJ;SP;RJ
20h30;Terça-feira;17/10/2000;São Paulo;Internacional;-;25ª Rodada;Morumbi;1;1;SP;RS;Empate
20h30;Quarta-feira;18/10/2000;Botafogo;Gama;Botafogo;25ª Rodada;Caio Martins;2;0;RJ;DF;RJ
20h30;Quarta-feira;18/10/2000;Guarani;Grêmio;Guarani;25ª Rodada;Brinco de Ouro;3;2;SP;RS;SP
20h30;Quarta-feira;18/10/2000;Palmeiras;Cruzeiro;Cruzeiro;25ª Rodada;Pq. Antarctica;0;1;SP;MG;MG
20h30;Quarta-feira;18/10/2000;Flamengo;América-MG;América-MG;25ª Rodada;Maracanã;1;2;RJ;MG;MG
22h;Quarta-feira;18/10/2000;Atlético-PR;Fluminense;Atlético-PR;25ª Rodada;Joaquim Américo;1;0;PR;RJ;PR
20h30;Quinta-feira;19/10/2000;Atlético-MG;Coritiba;Atlético-MG;25ª Rodada;Mineirão;2;1;MG;PR;MG
15h45;Sábado;21/10/2000;Goiás;Santos;Goiás;26ª Rodada;Serra Dourada;3;1;GO;SP;GO
15h45;Sábado;21/10/2000;Portuguesa;Flamengo;Portuguesa;26ª Rodada;Canindé;2;1;SP;RJ;SP
